Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,altitude
429764,429.736,9.512605,7.53408,5.4936,-1.88352,417.0856
429800,429.772,10.68827,6.74928,7.53408,-3.45312,417.0856
429837,429.808,9.579705,7.0632,5.96448,-2.51136,416.1951
429872,429.844,10.13456,7.691041,5.96448,-2.82528,416.602
429944,429.916,10.68251,7.848001,6.90624,-2.19744,416.7711
429980,429.952,10.37956,7.22016,6.43536,-3.76704,416.602
430019,429.988,10.4281,7.0632,6.59232,-3.924,416.8451
430056,430.028,10.109,7.53408,5.96448,-3.1392,415.9547
430093,430.064,10.17217,7.848001,5.96448,-2.51136,416.4356
430165,430.136,10.11144,7.0632,6.59232,-2.98224,415.5451
430200,430.172,10.16854,7.22016,6.43536,-3.1392,415.9547
430237,430.208,10.23254,7.37712,6.2784,-3.29616,415.9547
430273,430.244,10.13456,7.691041,5.96448,-2.82528,416.9191
430345,430.316,10.24096,7.691041,6.2784,-2.51136,416.3616
430380,430.352,9.810942,7.0632,6.12144,-2.98224,416.4356
430417,430.388,9.046672,7.53408,4.23792,-2.66832,416.602
430453,430.424,11.36742,7.848001,7.53408,-3.29616,415.7882
430488,430.46,9.813453,7.37712,5.96448,-2.51136,417.2336
430560,430.532,11.32943,8.00496,7.37712,-3.1392,416.1951
430597,430.568,9.467174,7.0632,5.96448,-2.04048,417.0116
430633,430.604,11.42039,8.00496,7.37712,-3.45312,416.602
430668,430.64,10.37006,7.22016,6.74928,-3.1392,417.252
430740,430.712,10.00859,7.691041,6.12144,-1.88352,416.602
430777,430.748,10.74116,7.37712,6.74928,-3.924,416.8451
430812,430.784,10.75377,6.74928,7.22016,-4.23792,416.6787
430848,430.82,10.03317,7.22016,6.43536,-2.66832,417.326
430884,430.856,10.2217,7.22016,6.59232,-2.98224,416.4356
430956,430.928,10.05034,7.53408,6.2784,-2.19744,416.9376
430993,430.964,10.31885,7.0632,6.90624,-2.98224,416.7526
431028,431.0,10.37006,7.22016,6.74928,-3.1392,416.5095
431064,431.036,10.10779,7.0632,6.43536,-3.29616,416.9191
431137,431.108,10.13456,7.691041,5.96448,-2.82528,416.6787
431173,431.144,10.13578,7.37712,6.2784,-2.98224,417.7356
431209,431.18,11.10873,7.0632,7.848001,-3.45312,417.1596
431244,431.216,9.910877,7.0632,6.12144,-3.29616,417.7356
431280,431.252,11.46668,6.59232,8.946721,-2.82528,416.9191
431353,431.324,9.26596,6.2784,6.59232,-1.72656,417.0856
431388,431.36,9.329553,6.2784,6.59232,-2.04048,416.7526
431424,431.396,9.909635,6.90624,6.12144,-3.61008,416.3616
431463,431.432,9.908392,7.0632,6.59232,-2.19744,416.4356
431537,431.508,9.982706,7.0632,5.96448,-3.76704,416.602
431572,431.544,9.76816,6.90624,6.43536,-2.51136,416.2902
431608,431.58,10.39853,7.848001,6.2784,-2.66832,416.4356
431644,431.616,9.622046,7.0632,5.96448,-2.66832,417.0856
431681,431.652,10.45523,7.848001,6.43536,-2.51136,416.8451
431753,431.724,10.33317,7.37712,6.59232,-2.98224,416.8451
431788,431.76,10.23374,7.37712,6.43536,-2.98224,417.0116
431824,431.796,10.37956,7.37712,6.59232,-3.1392,416.8451
431860,431.832,10.20602,7.53408,6.2784,-2.82528,416.6787
431933,431.904,10.06994,7.22016,6.2784,-3.1392,416.2691
431968,431.94,10.13578,7.37712,6.2784,-2.98224,416.1211
432004,431.976,10.40208,7.53408,6.59232,-2.82528,416.602
432041,432.012,9.859787,7.37712,5.65056,-3.29616,417.5691
432077,432.048,11.38149,8.161921,7.0632,-3.61008,416.1951
432148,432.12,8.158901,6.43536,4.7088,-1.72656,416.602
432184,432.156,8.588452,6.74928,4.39488,-2.98224,416.5095
432221,432.192,10.92198,7.37712,6.74928,-4.39488,416.4356
432257,432.228,10.66173,7.37712,7.22016,-2.66832,416.9191
432449,432.42,10.13456,7.691041,5.96448,-2.82528,417.4212
432485,432.456,10.33317,8.00496,5.96448,-2.66832,417.0856
432520,432.492,9.851037,7.37712,5.80752,-2.98224,416.8451
432556,432.528,10.34151,7.22016,6.90624,-2.66832,416.602
432629,432.6,10.22772,7.691041,6.12144,-2.82528,416.8451
432665,432.636,10.06137,7.53408,5.96448,-2.98224,417.252
432700,432.672,10.39023,7.848001,6.12144,-2.98224,417.0856
432736,432.708,10.4458,7.53408,6.59232,-2.98224,416.6787
432772,432.744,9.909635,7.0632,6.2784,-2.98224,416.6787
432844,432.816,10.8813,8.00496,6.59232,-3.29616,416.602
432880,432.852,11.22785,8.00496,7.22016,-3.1392,416.9376
432916,432.888,10.75262,7.53408,6.59232,-3.924,416.4356
432952,432.924,9.808431,6.59232,7.22016,-0.7848001,416.6787
433028,432.996,9.400581,6.43536,6.43536,-2.3544,416.9904
