Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,temperature
1068754,1068.737,18.30318,1.5696,-4.23792,17.73648,19
1068778,1068.762,14.35219,2.66832,-4.08096,13.49856,19
1068802,1068.785,7.09105,2.19744,-1.41264,6.59232,19
1068862,1068.845,3.901964,2.98224,2.51136,0.15696,19
1068885,1068.869,4.307116,1.5696,3.45312,2.04048,19
1068910,1068.893,28.21572,0.7848001,-4.86576,27.78192,19
1068934,1068.917,11.5491,1.09872,0.94176,11.45808,19
1068993,1068.977,9.164368,2.82528,2.04048,8.475841,19
1069017,1069.001,8.205571,2.98224,2.51136,7.22016,19
1069041,1069.025,8.324801,3.29616,2.51136,7.22016,19
1069065,1069.049,8.820538,4.7088,1.09872,7.37712,19
1069089,1069.073,6.96662,4.23792,0.62784,5.4936,19
1069149,1069.133,0.9016666,0.7848001,0.31392,0.31392,19
1069175,1069.157,1.303808,0.31392,0.15696,1.25568,19
1069197,1069.181,4.750472,-0.62784,0.0,4.7088,19
1069221,1069.205,7.855844,0.15696,-0.31392,7.848001,19
1069246,1069.229,13.3416,0.7848001,-1.88352,13.18464,19
1069305,1069.289,16.73594,4.08096,-5.17968,15.38208,19
1069329,1069.313,14.39761,4.23792,-4.86576,12.87072,19
1069353,1069.337,17.32614,4.08096,-4.7088,16.16688,19
1069378,1069.361,24.22529,-0.7848001,-5.65056,23.544,19
1069401,1069.385,17.37938,-2.19744,-3.1392,16.95168,19
1069462,1069.446,14.01786,0.31392,-3.76704,13.49856,19
1069486,1069.469,14.66547,0.7848001,-4.39488,13.96944,19
1069510,1069.493,12.86498,0.94176,-3.29616,12.39984,19
1069533,1069.517,13.23127,0.62784,-3.61008,12.71376,19
1069593,1069.577,9.698553,-0.62784,-1.41264,9.57456,19
1069619,1069.601,12.46326,-0.7848001,-2.19744,12.24288,19
1069644,1069.629,15.84363,0.47088,-3.76704,15.38208,19
1069669,1069.653,13.70325,0.94176,-2.98224,13.3416,19
1069693,1069.677,11.46668,1.5696,-2.19744,11.14416,19
1069753,1069.737,9.783281,0.7848001,-0.62784,9.731521,19
1069776,1069.761,8.949474,0.15696,-0.15696,8.946721,19
1069801,1069.785,8.478746,0.15696,-0.15696,8.475841,19
1069825,1069.809,8.176998,0.47088,-0.15696,8.161921,19
1069849,1069.833,10.25178,0.62784,-0.7848001,10.2024,19
1069908,1069.893,9.106386,1.41264,-0.94176,8.946721,19
1069933,1069.917,8.792563,1.25568,-1.09872,8.632801,19
1069958,1069.941,8.118034,1.09872,-0.7848001,8.00496,19
1069981,1069.965,7.808662,0.7848001,-1.09872,7.691041,19
1070040,1070.025,9.764376,1.09872,-1.5696,9.57456,19
1070064,1070.049,10.21809,1.5696,-2.04048,9.88848,19
1070089,1070.073,10.83593,1.72656,-2.66832,10.35936,19
1070113,1070.097,12.21972,1.88352,-3.29616,11.61504,19
1070137,1070.121,12.56955,2.19744,-3.29616,11.92896,19
1070197,1070.181,10.49287,1.09872,-2.82528,10.04544,19
1070221,1070.205,9.299136,0.94176,-2.3544,8.946721,19
1070245,1070.229,8.314436,0.47088,-2.19744,8.00496,19
1070269,1070.253,8.380841,0.7848001,-2.3544,8.00496,19
1070293,1070.277,9.727722,0.62784,-2.3544,9.417601,19
1070353,1070.337,15.56676,1.5696,-4.7088,14.75424,19
1070377,1070.361,14.79343,1.72656,-4.55184,13.96944,19
1070401,1070.385,15.38929,1.25568,-4.7088,14.59728,19
1070425,1070.409,12.31711,0.31392,-3.61008,11.772,19
1070485,1070.469,8.241522,-0.15696,-2.51136,7.848001,19
1070509,1070.493,8.798165,-0.15696,-2.3544,8.475841,19
1070533,1070.517,10.33674,-0.47088,-3.45312,9.731521,19
1070558,1070.541,11.07875,0.15696,-3.924,10.35936,19
1070581,1070.565,12.75632,1.5696,-3.76704,12.08592,19
1070641,1070.625,8.512095,0.62784,-2.82528,8.00496,19
1070666,1070.649,10.53738,0.47088,-3.61008,9.88848,19
1070690,1070.673,12.26399,0.31392,-3.924,11.61504,19
1070713,1070.697,11.56615,0.15696,-3.61008,10.9872,19
1070737,1070.721,10.37599,0.15696,-3.1392,9.88848,19
1070916,1070.901,11.51813,0.15696,-3.45312,10.9872,19
1070941,1070.925,11.3685,0.15696,-3.45312,10.83024,19
1070965,1070.949,10.62238,0.0,-3.45312,10.04544,19
1070988,1070.973,9.832264,0.0,-2.82528,9.417601,19
1071013,1070.997,9.387468,-0.31392,-2.82528,8.946721,19
1071073,1071.057,8.992042,-0.15696,-2.51136,8.632801,19
1071097,1071.081,9.18719,0.15696,-2.66832,8.789761,19
1071122,1071.105,10.13456,0.15696,-2.82528,9.731521,19
1071145,1071.129,11.32072,0.0,-3.29616,10.83024,19
1071205,1071.189,11.22237,0.31392,-3.45312,10.67328,19
1071229,1071.213,10.82569,0.15696,-3.1392,10.35936,19
1071253,1071.237,9.939424,0.0,-2.66832,9.57456,19
1071277,1071.261,9.142837,-0.15696,-2.51136,8.789761,19
1071300,1071.285,8.605646,-0.15696,-2.19744,8.31888,19
1071361,1071.345,10.41273,-0.62784,-2.66832,10.04544,19
1071385,1071.369,9.824743,-0.15696,-2.19744,9.57456,19
1071409,1071.393,11.04089,0.0,-2.82528,10.67328,19
1071432,1071.417,11.30657,0.0,-2.66832,10.9872,19
1071457,1071.441,11.19379,-0.15696,-2.82528,10.83024,19
1071517,1071.501,10.65942,0.0,-2.51136,10.35936,19
1071542,1071.525,10.01351,-0.15696,-2.3544,9.731521,19
1071565,1071.549,9.144184,-0.15696,-1.88352,8.946721,19
1071589,1071.573,7.5259,-0.47088,-1.41264,7.37712,19
1071613,1071.597,6.443012,-0.31392,-1.41264,6.2784,19
1071674,1071.657,7.056221,-0.31392,-1.41264,6.90624,19
1071696,1071.681,7.175664,-0.15696,-1.25568,7.0632,19
1071721,1071.705,7.064944,-0.47088,-1.41264,6.90624,19
1071745,1071.729,8.509201,-0.47088,-1.72656,8.31888,19
1071806,1071.789,9.154955,-0.47088,-1.88352,8.946721,19
1071829,1071.813,8.892862,-0.62784,-2.04048,8.632801,19
1071854,1071.837,9.1334,-0.7848001,-2.3544,8.789761,19
1071879,1071.861,8.601351,-0.7848001,-2.04048,8.31888,19
1071906,1071.889,8.681179,-0.7848001,-2.3544,8.31888,19
1071966,1071.949,9.849788,-1.09872,-2.66832,9.417601,19
1071989,1071.973,10.72279,-1.41264,-2.98224,10.2024,19
1072013,1071.997,10.11631,-1.88352,-2.66832,9.57456,19
1072038,1072.021,10.82,-2.51136,-3.1392,10.04544,19
1072062,1072.045,10.31885,-2.98224,-2.98224,9.417601,19
1072122,1072.105,12.21266,-3.61008,-3.924,10.9872,19
1072146,1072.129,12.3051,-3.61008,-3.76704,11.14416,19
1072169,1072.153,11.93103,-3.61008,-3.924,10.67328,19
1072194,1072.177,12.02973,-3.924,-3.924,10.67328,19
1072253,1072.237,10.95239,-3.924,-3.1392,9.731521,19
1072277,1072.261,10.72624,-3.924,-2.82528,9.57456,19
1072301,1072.285,10.32721,-4.08096,-2.66832,9.103681,19
1072326,1072.309,10.8994,-3.61008,-2.82528,9.88848,19
1072350,1072.333,11.04869,-3.924,-2.98224,9.88848,19
1072411,1072.393,10.90392,-3.29616,-2.66832,10.04544,19
1072437,1072.421,10.48347,-2.98224,-2.51136,9.731521,19
1072462,1072.445,10.56307,-2.98224,-2.82528,9.731521,19
1072487,1072.469,10.43991,-2.51136,-2.82528,9.731521,19
1072513,1072.497,9.998734,-2.04048,-2.66832,9.417601,19
1072573,1072.557,9.889727,-1.41264,-2.66832,9.417601,19
1072596,1072.581,9.999966,-1.09872,-2.66832,9.57456,19
1072622,1072.605,9.970359,-0.7848001,-2.66832,9.57456,19
1072646,1072.629,9.918332,-0.62784,-2.51136,9.57456,19
1072705,1072.689,10.55607,-0.47088,-2.66832,10.2024,19
1072728,1072.713,10.3653,-0.47088,-2.51136,10.04544,19
1072753,1072.737,10.1758,-0.47088,-2.3544,9.88848,19
1072777,1072.761,10.55607,-0.47088,-2.66832,10.2024,19
1072802,1072.785,10.35936,-0.31392,-2.51136,10.04544,19
1072862,1072.845,9.871025,-0.47088,-2.3544,9.57456,19
1072885,1072.869,10.29375,-0.47088,-2.19744,10.04544,19
1072909,1072.893,10.28777,-0.31392,-2.19744,10.04544,19
1072933,1072.917,10.16975,-0.31392,-2.3544,9.88848,19
1072958,1072.941,10.32243,-0.31392,-2.3544,10.04544,19
1073018,1073.001,9.682028,-0.47088,-2.19744,9.417601,19
1073041,1073.025,9.834768,-0.47088,-2.19744,9.57456,19
1073065,1073.049,10.02334,-0.47088,-2.3544,9.731521,19
1073089,1073.073,9.903418,-0.31392,-2.51136,9.57456,19
1073148,1073.133,9.78328,-1.25568,-1.5696,9.57456,19
1073173,1073.157,10.13335,-0.94176,-0.94176,10.04544,19
1073197,1073.181,9.176457,-1.88352,-0.7848001,8.946721,19
1073221,1073.205,10.93213,-2.98224,-0.15696,10.51632,19
1073246,1073.229,12.13881,-2.19744,-0.47088,11.92896,19
1073413,1073.397,10.4151,-0.47088,-2.04048,10.2024,19
1073437,1073.421,9.560399,-0.31392,-2.3544,9.260641,19
1073462,1073.445,10.05157,-0.15696,-2.51136,9.731521,19
1073486,1073.469,10.09193,-0.15696,-2.66832,9.731521,19
